SampleID	SeqProject	LCSETMax	ReadgroupsAggregated	GENDER	ANCESTRY	SeqTech	LibTech	Mean_Coverage	Contamination_Estimation	Percent_Chimeric_Reads	Median_Insert_Size	Standard_Deviation_Insert_Size	Percent_lt_30bp_frags	nEvalVariants	novelSites	nVariantsAtComp	nInsertions	nDeletions	InsDelRatio	nSingletons	nHets	nHomRef	nHomVar	HetHomeRatio	nTi	nTv	TiTvRatio	index	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	inferredAncestry	nEvalVariantsZscore	novelSitesZscore	nVariantsAtCompZscore	nInsertionsZscore	nDeletionsZscore	InsDelRatioZscore	nSingletonsZscore	nHetsZscore	nHomRefZscore	nHomVarZscore	HetHomeRatioZscore	nTiZscore	nTvZscore	TiTvRatioZscore	ANCESTRY-SeqTech	maxVcfzscore	flaggedReason
Sample-011	G66919	LCSET-5036	3	Female	African American	HiSeq2000	SAGE	25.66	0	0.005954	339	72.782	0.007883	4613935	426688	4187247	209740	258874	0.81	62316	3216318	33801393	1397617	2.3	2409832	1270060	1.9	11	-0.0455	0.0222	-0.0015	0.0058	-0.0021	-0.0086	0.0269	0.0218	-0.015	0.0309	0.0096	-0.0011	-0.014	-0.0115	-0.0363	-0.0115	-0.0046	0.0077	-0.0143	1e-04	AFR	0.766	0.063	0.982	0.555	0.664	1.349	1.515	0.583	1.033	3.127	0.854	1.09	0.939	Inf	African American-HiSeq2000	Inf	TiTvRatioZscore>=4,
Sample-012	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	39.951	0	0.005644	352	62.314	0.0061559	3851371	352912	3498459	180549	211596	0.85	14580	2446619	34583541	1404752	1.74	1963276	1048992	1.87	12	0.0187	0.0111	-0.0065	-0.0119	0.0144	-0.0278	0.0078	0.0288	-0.0088	0.0157	0.0017	0.0016	-0.0338	0.0039	0.0172	-0.0055	0.0268	0.0248	0.0203	-0.0156	EUR	0.023	0.206	0.16	0.196	0.031	NA	0.436	0.059	0.264	0.09	0	0.447	0.202	NA	White-HiSeq2000	NA	
Sample-013	G66919	LCSET-5036	4	Female	White	HiSeq2000	SAGE	57.392	0	0.005686	326	81.297	0.0333225	3940047	375630	3564417	184620	212513	0.87	20005	2555434	34528199	1384613	1.85	1998513	1070450	1.87	13	0.017	0.0088	-0.0158	0.0227	-0.0176	-0.0154	-0.0059	0.0139	0.0185	-0.0058	0.06	-0.0084	-0.0277	-0.0083	-0.0058	-0.0208	0.0312	-0.0218	0.0186	-0.0187	EUR	2.829	3.092	2.405	2.602	0.515	Inf	4.59	2.212	2.356	0.835	1.484	1.887	2.237	NA	White-HiSeq2000	NA	nSingletonsZscore>=4,InsDelRatioZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-014	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	25.272	0	0.006731	366	71.973	0.0079673	3780544	323393	3457151	176618	208272	0.85	12160	2361997	34630743	1418547	1.67	1950279	1034730	1.88	14	0.0191	0.0088	-0.0075	-0.0174	0.0179	0.0577	-0.0074	0.0265	0.0274	0.0265	0.0213	-0.029	-0.0128	0.0087	0.0196	-0.002	0.0258	-0.009	-0.0242	-0.026	EUR	2.219	3.545	1.767	2.128	2.012	NA	1.416	1.615	1.52	0.42	0.944	1.308	1.824	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,
Sample-015	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	43.846	0	0.007218	324	75.629	0.0047923	3863274	352724	3510550	181084	211059	0.86	14135	2430226	34579257	1433048	1.7	1976935	1054927	1.87	15	0.0169	0.0064	-0.0098	0.0232	-0.0133	-0.0078	0.0066	0.0244	-0.0258	0.0161	0.0248	-0.0059	-0.0026	-0.0361	-0.0131	-0.0105	-0.0285	-0.019	-0.0176	-1e-04	EUR	0.399	0.182	0.31	0.512	0.351	Inf	0.096	0.265	0.426	0.957	0.54	0.458	0.472	NA	White-HiSeq2000	NA	InsDelRatioZscore>=4,
Sample-016	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	39.042	0	0.005069	349	74.284	0.005893	3847662	350354	3497308	179722	212484	0.85	19554	2443632	34590528	1404030	1.74	1984102	1054375	1.88	16	0.0162	0.0102	-0.0053	0.037	0.0322	-0.0246	-9e-04	0.0347	0.0184	-0.0197	-0.0079	-0.0055	-0.0175	0.0434	0.0365	-0.0108	-0.0655	0.0174	-0.0078	-0.0149	EUR	0.095	0.119	0.205	0.293	0.498	NA	4.244	0	0	0.117	0	0.933	0.41	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,nSingletonsZscore>=4,
Sample-017	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	42.663	0	0.002528	326	51.993	0.0031556	3817885	342665	3475220	178715	209146	0.85	13520	2410701	34619652	1407184	1.71	1957148	1042159	1.88	17	0.0186	0.0068	-9e-04	-0.0228	-0.0287	-0.0159	-0.0025	0.0257	-0.0113	-0.0112	0.0166	-0.0078	0.0245	-0.0094	0.0183	0.0262	0.039	0.0276	0.0105	0.0057	EUR	1.037	1.096	1.064	0.888	1.491	NA	0.375	0.652	1.101	0	0.405	0.853	0.979	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,
Sample-018	G66919	LCSET-5036	5	Male	White	HiSeq2000	SAGE	31.141	0.00108	0.003901	339	69.669	0.0075845	3771249	319449	3451800	175831	207488	0.85	13157	2340024	34607059	1431225	1.63	1950756	1035143	1.88	18	0.0216	0.0097	-0.0127	-0.016	0.0686	0.0462	0.0371	-0.0306	0.0207	0.0055	-0.0531	-0.0133	-0.0287	0.0242	0.0576	-0.0161	-4e-04	0.0164	-0.0097	0.0185	EUR	2.513	4.046	1.975	2.593	2.479	NA	0.653	2.05	0.625	0.89	1.484	1.277	1.777	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,novelSitesZscore>=4,
Sample-019	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	40.408	0	0.004548	354	59.884	0.0064194	3850656	343649	3507007	180218	212984	0.85	14746	2465138	34593163	1385518	1.78	1976448	1051834	1.88	19	0.0175	0.0088	-0.0058	0.0105	-0.0478	-5e-04	0.0098	0.0315	-0.0064	0.0277	0.0427	-0.0267	0.0044	0.0194	-0.0293	-0.0168	-0.0285	-0.0253	-0.0135	0.0172	EUR	0	0.971	0.172	0	0.796	NA	0.563	0.426	0.1	0.802	0.54	0.426	0.121	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,
Sample-020	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	38.562	0	0.004875	361	75.819	0.0060728	3818501	341545	3476956	178918	210377	0.85	12682	2378363	34619036	1440138	1.65	1947230	1041402	1.87	20	0.0194	0.0094	-0.0087	0.0021	0.0601	0.0053	-0.0283	-0.0032	0.0287	-0.0072	0.0194	-0.0128	-0.0397	0.004	-0.0127	0.0017	-0.027	-0.0173	0.0237	0.0428	EUR	1.018	1.239	0.997	0.768	0.757	NA	1.017	1.291	1.078	1.219	1.214	1.51	1.065	NA	White-HiSeq2000	NA	
Sample-021	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	32.903	0	0.005708	344	89.21	0.0576388	3800904	328629	3472275	177845	208106	0.85	13129	2381813	34609828	1419091	1.68	1965200	1044159	1.88	21	0.0184	0.0096	-0.0085	-0.0104	0.0044	-0.0319	-0.0182	-0.005	-0.035	0.0017	0.0456	-0.0257	-0.0235	5e-04	0.0183	-0.0242	0.012	-0.0174	0.0194	0.0022	EUR	1.575	2.88	1.179	1.403	2.11	NA	0.674	1.223	0.73	0.441	0.809	0.32	0.752	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-022	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	46.026	0	0.004718	359	72.014	0.0059735	3909806	358222	3551584	182793	213385	0.86	18633	2532302	34538324	1377504	1.84	1997095	1066737	1.87	22	0.0169	0.0106	-0.0059	0.0337	-0.0186	0.0115	0.033	-0.0431	-0.0166	-0.0045	0.0064	-0.0103	0.0033	-0.0066	-0.0025	0.0034	-0.0295	-0.0021	0.0069	-0.0115	EUR	1.872	0.88	1.906	1.522	1.035	Inf	3.539	1.755	1.973	1.098	1.349	1.793	1.815	NA	White-HiSeq2000	NA	InsDelRatioZscore>=4,
Sample-023	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	41.451	0	0.006007	353	78.404	0.0061129	3900507	352935	3547572	182071	214429	0.85	23102	2532397	34540510	1368110	1.85	2004766	1066998	1.88	23	0.0119	0.0093	-0.0058	0.0513	-0.0255	-0.0145	-0.0028	0.0023	-0.0349	-0.004	-1e-04	-0.016	0.0314	-0.0059	-0.0017	-0.0022	0.0118	-0.027	3e-04	6e-04	EUR	1.578	0.208	1.75	1.095	1.657	NA	6.961	1.756	1.891	1.446	1.484	2.302	1.845	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,nSingletonsZscore>=4,
Sample-024	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	42.963	0	0.003422	323	45.202	0.0032426	3835486	351604	3483882	179290	211765	0.85	10041	2408380	34606106	1427106	1.69	1954202	1045140	1.87	24	0.0171	0.0073	-0.0093	-0.002	-0.0302	0.0151	-0.043	-0.0223	0.0542	0.0267	0.0451	-4e-04	-0.015	-0.0037	0.0161	0.021	0.0337	0.0391	0.0244	-0.0122	EUR	0.48	0.039	0.727	0.549	0.07	NA	3.039	0.698	0.589	0.737	0.674	1.048	0.64	NA	White-HiSeq2000	NA	
Sample-025	G66919	LCSET-5036	2	Female	White	HiSeq2000	SAGE	33.294	0	0.003523	307	68.922	0.0036517	3822385	328243	3494142	178716	210743	0.85	16863	2456302	34606036	1366083	1.8	1973227	1047971	1.88	25	0.0177	0.0092	-0.0148	0.021	0.0017	-0.0155	-0.0206	-0.0333	0.0193	0.0287	-0.013	-0.0129	-5e-04	-0.0259	0.0248	0.0036	-0.0083	-0.0116	0.0098	0.0776	EUR	0.895	2.929	0.328	0.888	0.539	NA	2.184	0.251	0.586	1.521	0.809	0.212	0.318	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,
Sample-026	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	38.958	0	0.004103	353	111.268	0.097269	3862959	353738	3509221	180205	215755	0.84	14083	2451366	34584888	1411593	1.74	1986902	1058983	1.88	26	0.0171	0.0084	0.0023	-0.0085	-0.0266	-0.0391	-0.007	-0.0147	-0.0189	0.0322	0.0421	0.0015	-0.0078	-0.0152	0.0289	-9e-04	0.0091	-0.0225	-0.0252	-0.0226	EUR	0.389	0.311	0.258	0.008	2.447	Inf	0.056	0.153	0.213	0.163	0	1.118	0.934	Inf	White-HiSeq2000	Inf	TiTvRatioZscore>=4,InsDelRatioZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-027	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	46.235	0.00014	0.00387	324	61.58	0.0048536	3868157	351469	3516688	181332	212176	0.85	17701	2456376	34584870	1411781	1.74	1977726	1056133	1.87	27	0.0133	0.0028	0.014	0.0143	0.0195	-0.0387	-0.0427	-0.0165	0.0036	-0.0062	-0.017	-0.0207	-0.009	-0.039	-0.002	-0.0305	0.0224	0.0138	-0.0602	-0.0154	AMR	0.554	0.022	0.549	0.659	0.315	NA	2.826	0.252	0.214	0.17	0	0.51	0.61	NA	White-HiSeq2000	NA	
Sample-028	G66919	LCSET-5036	3	Male	African American	HiSeq2000	SAGE	42.838	0.00084	0.003346	306	102.448	0.0797822	4547183	442693	4104490	208722	255678	0.82	51852	3119369	33900266	1427814	2.18	2359122	1248986	1.89	28	-0.0365	0.0184	-0.0035	0.0076	-0.0155	0.0228	0.0394	-0.0501	-0.012	-0.0177	0.0283	0.0216	-0.0247	0.051	0.011	0.0118	0.0204	-0.0334	-0.0142	-0.0109	AFR	0.198	0.576	0.135	0.336	0.298	0	0.118	0.175	0.189	0.023	0.225	0.178	0.209	NA	African American-HiSeq2000	NA	Percent_lt_30bp_frags>=0.01,
Sample-029	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	37.991	0	0.004225	350	51.352	0.0063459	3927994	363809	3564185	183983	215983	0.85	20383	2541853	34514806	1386141	1.83	2000521	1066947	1.87	29	0.0142	0.0107	-0.0095	0.0406	-0.0228	0.0356	-0.0307	-0.0033	-0.0097	-0.0083	0.0171	-0.0144	0.0286	0.0387	-0.0283	-0.0314	0.0148	-0.0221	-0.0027	0.0204	EUR	2.448	1.59	2.396	2.226	2.583	NA	4.879	1.944	2.863	0.779	1.214	2.02	1.839	NA	White-HiSeq2000	NA	nSingletonsZscore>=4,
Sample-030	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	41.915	0	0.006372	343	51.447	0.0062628	3870432	354588	3515844	181636	213755	0.85	14721	2495582	34579684	1374850	1.82	1974028	1053880	1.87	30	0.0192	0.0095	-0.0093	-0.0285	-0.0055	-0.0465	-0.0201	0.0072	-0.0508	-0.0105	-0.0458	0.0194	-0.0256	0.0483	0.0091	0.0146	-0.0031	0.039	-0.0184	0.0273	EUR	0.626	0.418	0.516	0.838	1.255	NA	0.544	1.028	0.41	1.196	1.079	0.265	0.353	NA	White-HiSeq2000	NA	
Sample-031	G66919	LCSET-5036	4	Female	White	HiSeq2000	SAGE	29.59	5e-05	0.003185	349	49.159	0.0072309	3867189	343697	3523492	180900	215040	0.84	20707	2507495	34550335	1359694	1.84	1992510	1058629	1.88	31	0.0149	0.0119	-0.0143	0.0357	-0.009	-0.0202	-0.0079	0.003	-3e-04	-0.0253	-0.0102	0.0032	-0.012	0.0266	-0.006	0.0242	-0.019	-0.0065	-0.0239	-0.0096	EUR	0.523	0.965	0.813	0.403	2.021	Inf	5.127	1.264	1.519	1.757	1.349	1.49	0.893	Inf	White-HiSeq2000	Inf	TiTvRatioZscore>=4,nSingletonsZscore>=4,InsDelRatioZscore>=4,
Sample-032	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	41.162	0	0.004409	357	69.452	0.0065066	3861086	351650	3509436	181035	211648	0.86	13198	2435674	34582581	1425412	1.71	1962069	1050771	1.87	32	0.0196	0.0095	-0.0121	-0.0094	0.0161	0.0311	-0.0143	0.0303	-0.0069	-0.0306	0.0098	0.0264	-0.0019	-0.0138	0.0457	0.0115	0.0501	0.0183	-0.0088	-0.0111	EUR	0.33	0.045	0.267	0.483	0	Inf	0.622	0.157	0.3	0.674	0.405	0.527	0	NA	White-HiSeq2000	NA	InsDelRatioZscore>=4,
Sample-033	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	38.967	0	0.006092	349	54.969	0.0067975	3843266	352943	3490323	179950	212619	0.85	13207	2429176	34589810	1414090	1.72	1956350	1043962	1.87	33	0.0171	0.0099	-0.0023	-0.0151	-0.0318	0.0148	0.0127	0.0216	0.0088	0.027	0.0128	-0.0263	-0.0232	-0.0192	0.0094	-0.0036	-0.0129	-0.0152	0.039	0.0191	EUR	0.234	0.209	0.477	0.158	0.579	NA	0.615	0.286	0.027	0.256	0.27	0.906	0.774	NA	White-HiSeq2000	NA	
Sample-034	G66919	LCSET-5036	3	Female	African American	HiSeq2000	SAGE	42.21	0	0.004669	326	87.066	0.0623353	4500741	422750	4077991	205601	250453	0.82	46503	3164060	33944405	1336681	2.37	2335288	1236940	1.89	34	-0.0277	0.0185	-0.0049	-0.0014	-0.0086	-0.017	0.032	0.036	0.0024	-0.0155	0.0018	-0.017	-0.0277	0.0116	-0.0142	-7e-04	0.0299	0.0376	0.0136	0.0029	AFR	0.198	0.063	0.135	0.336	0.298	0	0.596	0.175	0.189	9.39	1.484	0.251	0.209	NA	African American-HiSeq2000	NA	nHomVarZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-035	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	45.684	0	0.005471	319	54.292	0.0033122	3837481	351666	3485815	179414	210516	0.85	13856	2404185	34603917	1433296	1.68	1958217	1045670	1.87	35	0.0176	0.0092	-0.0147	-0.0076	-0.0044	-0.0189	-0.023	0.0253	0.0091	0.009	0.0411	-0.0159	-0.0185	-0.0314	7e-04	-0.0038	0.0192	0.007	-0.0377	-0.0269	EUR	0.417	0.047	0.652	0.475	0.674	NA	0.118	0.781	0.506	0.966	0.809	0.782	0.58	NA	White-HiSeq2000	NA	
Sample-036	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	38.96	0	0.006079	370	66.496	0.0065722	3799149	344896	3454253	178187	208975	0.85	13342	2395331	34633307	1403818	1.71	1937984	1034990	1.87	36	0.0169	0.0056	-0.0023	-0.0038	-0.0376	0.0013	0.0063	0.0134	0.0101	0.0094	0.0208	-0.0349	-0.0209	-0.0073	-0.0278	0.0182	-0.0125	-0.0131	0.0127	0.0121	EUR	1.63	0.813	1.88	1.201	1.593	NA	0.511	0.956	1.617	0.125	0.405	2.123	1.794	NA	White-HiSeq2000	NA	
Sample-037	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	45.971	0	0.007016	333	60.004	0.0036907	3848223	356440	3491783	180530	211922	0.85	14010	2425771	34602950	1422452	1.71	1956346	1048368	1.87	37	0.0197	0.0089	-0.0098	0.0106	-0.0229	-0.0201	-0.0179	-0.0062	0.0235	0.013	0.0231	-0.0286	-0.0098	0.017	0.0454	-0.0343	0.0048	0.0022	0.0137	0.0167	EUR	0.077	0.654	0.42	0.184	0.163	NA	0	0.353	0.47	0.565	0.405	0.906	0.273	NA	White-HiSeq2000	NA	
Sample-038	G66919	LCSET-5036	3	Male	White	HiSeq2000	SAGE	42.633	0	0.006221	348	60.675	0.0064857	3846519	350355	3496164	180212	211944	0.85	14080	2449582	34599024	1396937	1.75	1963093	1046439	1.88	38	0.017	0.0119	-0.0016	-0.0025	-0.0156	-0.0216	-0.0088	6e-04	0.0112	0.0335	-0.0186	-0.001	-0.0177	0.0275	-0.0575	0.0118	0.0453	0.0319	0.0033	0.0118	EUR	0.131	0.119	0.25	0.004	0.176	NA	0.054	0.118	0.321	0.379	0.135	0.459	0.492	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,
Sample-039	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	43.66	0	0.005077	346	101.59	0.0816756	3861980	348459	3513521	180758	209165	0.86	14625	2475763	34585239	1386217	1.79	1979816	1057179	1.87	39	0.0194	0.0097	-0.0076	0.0013	-0.0074	-0.0062	0.0056	0.0408	8e-04	0.0289	0.0402	-0.0149	0.029	-0.0126	0.0144	0.0156	0.0093	-0.0434	-0.0391	0.0045	EUR	0.358	0.36	0.425	0.319	1.479	Inf	0.471	0.636	0.2	0.776	0.674	0.649	0.728	NA	White-HiSeq2000	NA	InsDelRatioZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-040	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	37.658	0	0.010292	362	100.187	0.0747702	3874972	345658	3529314	181109	212175	0.85	15631	2498508	34556274	1376464	1.82	1989681	1059908	1.88	40	0.0171	0.0072	-0.0061	0.0011	-0.0304	0.0129	-9e-04	0.0209	0.0405	-0.0063	-0.0049	0.0353	0.0137	0.001	0.0013	0.0523	0.0349	-0.0485	0.014	0.029	EUR	0.77	0.716	1.04	0.527	0.314	NA	1.241	1.086	1.295	1.137	1.079	1.302	1.039	Inf	White-HiSeq2000	NA	TiTvRatioZscore>=4,Percent_lt_30bp_frags>=0.01,
Sample-041	G66919	LCSET-5036	3	Female	White	HiSeq2000	SAGE	47.721	0	0.007447	349	94.971	0.0579347	3873456	352787	3520669	181654	210968	0.86	15618	2480425	34583421	1393031	1.78	1981151	1057420	1.87	41	0.0174	0.0078	-0.0083	-0.0107	0.0085	0.0251	-0.0115	0.0186	0.0434	0.018	-0.001	-0.0077	-0.0314	0.031	0.0392	-0.0193	0.0059	0.0238	0.0189	0.0192	EUR	0.722	0.19	0.703	0.849	0.405	Inf	1.231	0.728	0.269	0.524	0.54	0.737	0.756	NA	White-HiSeq2000	NA	InsDelRatioZscore>=4,Percent_lt_30bp_frags>=0.01,
